                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2707,                0.70327,                 1.0607,                0.93876,                0.90691,                0.96312,                0.64868,                 1.1833,                0.54764,                  1.022,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2748,                0.70372,                 1.0636,                0.93769,                0.90774,                0.96325,                0.64908,                 1.1828,                0.54717,                 1.0216,               0.005842,               0.005842,               0.005842
                     86,                 1.2755,                0.70774,                 1.0608,                0.93767,                0.90879,                0.96365,                0.64927,                 1.1823,                0.54675,                 1.0213,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2692,                0.70071,                 1.0601,                0.93799,                0.90858,                0.96341,                0.64996,                 1.1812,                0.54612,                  1.021,               0.005743,               0.005743,               0.005743
                     88,                 1.2794,                0.70692,                 1.0636,                0.93918,                0.90753,                0.96343,                   0.65,                 1.1805,                0.54561,                 1.0207,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2736,                0.70461,                 1.0635,                0.93771,                0.90941,                0.96364,                0.65019,                 1.1793,                0.54496,                 1.0201,               0.005644,               0.005644,               0.005644
                     90,                 1.2741,                0.70689,                 1.0633,                  0.938,                0.90948,                0.96405,                0.65043,                 1.1786,                0.54423,                 1.0198,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2643,                0.69775,                 1.0595,                0.93968,                 0.9092,                0.96356,                0.65054,                 1.1783,                0.54362,                 1.0196,               0.005545,               0.005545,               0.005545
                     92,                 1.2691,                0.70044,                 1.0601,                0.93858,                  0.909,                0.96364,                0.65095,                 1.1775,                0.54331,                 1.0191,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2644,                0.69749,                 1.0592,                0.93803,                0.91067,                 0.9634,                 0.6508,                 1.1771,                  0.543,                 1.0188,               0.005446,               0.005446,               0.005446
                     94,                 1.2608,                0.69383,                 1.0571,                0.94051,                0.90941,                0.96374,                 0.6517,                  1.176,                0.54242,                 1.0183,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2597,                0.69292,                 1.0572,                0.94066,                0.90983,                0.96382,                0.65228,                 1.1752,                 0.5419,                 1.0179,               0.005347,               0.005347,               0.005347
                     96,                 1.2645,                0.69496,                 1.0598,                0.93828,                0.91072,                0.96387,                0.65245,                 1.1744,                0.54138,                 1.0175,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2574,                0.69453,                 1.0571,                0.93891,                0.91338,                0.96446,                0.65327,                 1.1737,                0.54089,                 1.0171,               0.005248,               0.005248,               0.005248
                     98,                  1.252,                 0.6895,                 1.0564,                0.93963,                0.91293,                0.96438,                0.65347,                 1.1731,                0.54019,                 1.0168,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2634,                0.69401,                 1.0594,                0.93737,                0.91505,                0.96447,                0.65377,                 1.1723,                0.53962,                 1.0165,               0.005149,               0.005149,               0.005149
                    100,                 1.2533,                0.68628,                 1.0539,                0.93781,                0.91442,                0.96431,                  0.654,                 1.1715,                0.53908,                 1.0162,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2532,                0.68916,                 1.0547,                0.93957,                0.91234,                0.96449,                0.65425,                 1.1709,                0.53847,                 1.0158,                0.00505,                0.00505,                0.00505
                    102,                 1.2532,                0.68743,                 1.0551,                0.93886,                0.91354,                0.96449,                0.65465,                 1.1703,                0.53787,                 1.0155,              0.0050005,              0.0050005,              0.0050005
